document_id,main_category,sub_category
10217,math,CA
09946,cs,SI
06830,cs,CL
08376,math,AT
04856,astro-ph,EP
05356,eess,SP
08030,cs,DC
02494,math-ph,
09532,math,CT
07748,physics,hist-ph
07828,physics,class-ph
05652,math,RA
00529,math,LO
01383,cs,SY
07233,cs,NE
03722,astro-ph,GA
01668,physics,med-ph
03023,hep-ph,
06163,cond-mat,quant-gas
07760,math,AC
04005,math,ST
08011,math,OC
05399,physics,soc-ph
06735,math,AP
01858,math,GT
00420,math,AP
03585,astro-ph,HE
10497,stat,AP
00133,gr-qc,
07447,cs,CR
07701,math,CA
04367,hep-ph,
01910,quant-ph,
08126,physics,data-an
06248,cond-mat,mtrl-sci
04650,cs,IT
06993,math,PR
04422,cs,IT
02422,q-fin,EC
08120,stat,ME
02759,math,NA
03504,hep-ph,
02568,physics,acc-ph
00057,math,GR
09173,hep-th,
08536,physics,ins-det
06270,cs,CR
05185,quant-ph,
09706,astro-ph,EP
03818,eess,SP
05598,physics,soc-ph
08904,math,AP
04663,cond-mat,quant-gas
02327,math,AP
07416,math,CV
03330,quant-ph,
05914,math,NT
00048,cs,SY
04622,cs,AI
04493,physics,flu-dyn
03760,math,PR
06141,q-fin,CP
06456,hep-lat,
04317,physics,plasm-ph
03047,math,RA
10536,math,NT
04887,astro-ph,HE
02316,nucl-th,
06190,astro-ph,GA
04342,cs,LG
01111,eess,SP
00877,cond-mat,mtrl-sci
06431,math,GT
04451,astro-ph,EP
04362,quant-ph,
09831,q-bio,QM
08105,math,AP
08508,astro-ph,HE
04919,q-bio,MN
04173,cond-mat,mes-hall
03364,math,OC
06888,math,DG
08578,nlin,AO
01772,cond-mat,mes-hall
03201,physics,optics
05014,gr-qc,
06041,cs,SE
00375,math,AG
07174,cs,CL
07894,gr-qc,
03083,math-ph,
09088,physics,flu-dyn
04359,cs,IT
08454,stat,ML
05768,cs,IT
04394,cond-mat,mes-hall
04268,astro-ph,CO
00748,astro-ph,EP
06324,cond-mat,supr-con
02047,quant-ph,
00998,cond-mat,stat-mech
03785,math,FA
00878,math,PR
02904,hep-ph,
09010,cs,IT
04185,cs,SE
07700,cond-mat,mtrl-sci
02850,cs,CR
07926,hep-ex,
01694,math-ph,
09730,hep-ph,
08465,physics,acc-ph
05383,astro-ph,IM
06060,math,GM
01771,physics,space-ph
00293,cs,RO
01157,hep-th,
06499,hep-ph,
09868,math,AG
00956,physics,acc-ph
03872,hep-ex,
06557,astro-ph,GA
02715,hep-th,
08597,math,GT
03129,cond-mat,other
05280,physics,soc-ph
01845,physics,flu-dyn
07641,hep-ph,
06505,cs,GT
02358,cs,DS
09861,hep-th,
01221,math,OC
06050,cs,CY
05824,physics,optics
08269,nucl-th,
09068,math,AP
04805,quant-ph,
07411,cs,AI
02158,cs,IT
06173,quant-ph,
05068,physics,med-ph
02070,math,NA
08047,math,GR
09290,nlin,AO
09914,physics,comp-ph
05507,cs,CR
08639,cs,IT
00955,cond-mat,soft
01250,nucl-th,
03534,cs,ET
07561,cs,CR
09315,q-fin,MF
09720,quant-ph,
03193,hep-th,
03185,math,ST
08681,math,CO
01702,astro-ph,HE
08276,cs,IT
01053,quant-ph,
02809,quant-ph,
03928,cs,DL
09577,cs,NI
00900,math,NA
08386,math,AP
07776,cond-mat,mes-hall
06656,astro-ph,GA
07643,gr-qc,
00163,math,CO
01928,cs,MS
10415,hep-th,
09676,physics,app-ph
10027,math,LO
06753,math,RT
05165,math,AP
03826,hep-ph,
07222,cs,LG
00199,math,AP
01275,cs,SE
08807,cond-mat,mes-hall
09311,math,AT
08818,math,AP
09814,quant-ph,
08994,math,DG
06563,math,GT
04169,cond-mat,mes-hall
01582,cs,CV
07708,astro-ph,SR
07415,math,NT
09332,astro-ph,EP
04020,math,NT
09481,cs,IT
04440,astro-ph,GA
06623,cs,NI
09981,math,CO
03190,cs,DS
08687,astro-ph,GA
07589,math,AP
08154,cs,CR
03883,astro-ph,GA
07326,math,CA
00132,cs,SI
05323,nucl-th,
08493,nucl-th,
02938,cs,SY
01123,astro-ph,GA
03750,quant-ph,
02590,math,CA
02639,cond-mat,quant-gas
06762,math,SG
07478,cs,RO
05369,math,QA
05724,math,RA
06305,astro-ph,GA
09491,math,AP
05816,astro-ph,GA
09447,hep-th,
02124,stat,ML
00368,math,NA
03577,eess,IV
09260,physics,flu-dyn
10258,cond-mat,mtrl-sci
00303,math,CA
08129,hep-ph,
08035,math,CV
06646,math,FA
01155,cs,GR
02742,cs,CR
01440,math,DS
04079,math,AP
04692,q-bio,BM
00629,math,NA
07264,cond-mat,mes-hall
08937,astro-ph,CO
08095,math,AP
07731,cond-mat,dis-nn
06690,nucl-ex,
05299,cs,CV
08503,math,AP
05902,cond-mat,quant-gas
04163,cs,LO
10285,cs,SY
08934,math,PR
04580,physics,optics
07942,cond-mat,mes-hall
06289,astro-ph,GA
05184,hep-th,
03940,astro-ph,GA
00108,cond-mat,quant-gas
06449,cs,NI
05203,math,PR
06414,quant-ph,
09894,math,ST
02367,cs,LO
00357,math,RT
06844,physics,bio-ph
03131,cond-mat,mes-hall
07122,math,DG
01733,cs,AI
05001,math,CA
07035,quant-ph,
01683,cond-mat,mes-hall
02265,cs,CR
01414,hep-ph,
10533,math,OC
10081,cond-mat,str-el
00873,math,AG
01744,math,AG
08171,hep-th,
09737,astro-ph,IM
07696,physics,chem-ph
02349,math,AP
01294,quant-ph,
00512,cs,LG
05286,physics,gen-ph
06584,physics,chem-ph
00777,cs,DS
01044,cond-mat,mtrl-sci
02983,physics,chem-ph
09907,cond-mat,dis-nn
07720,astro-ph,GA
09790,nucl-th,
04893,math,AG
09364,cond-mat,mes-hall
10052,math,DG
03782,quant-ph,
08322,cs,CV
00474,math,CO
00106,cs,IT
00663,math,PR
10156,astro-ph,IM
09826,math,DS
05302,cs,CV
04602,quant-ph,
10116,physics,flu-dyn
