document_id,email_domain
document_id,email_address
00685,barc.gov.in
01996,gmail.com
08018,telecom-paristech.fr
08018,lip6.fr
08018,telecom-paristech.fr
08018,lip6.fr
08018,telecom-paristech.fr
07011,L3S.de
07011,L3S.de
07011,live.it
06680,uwb.edu.pl
06680,math.uwb.edu.pl
09436,dena.sharif.ir
09436,ce.sharif.ir
10179,gmail.com
03855,us.ibm.com
03855,us.ibm.com
03855,us.ibm.com
03855,us.ibm.com
02978,163.com
09709,us.ibm.com
09709,us.ibm.com
08113,aliannajmaren.com
00778,gmail.com
00778,iiserkol.ac.in
00778,iiserkol.ac.in
03852,mpi-magdeburg.mpg.de
03852,mis.mpg.de
03852,mis.mpg.de
03852,lbl.gov
06446,stsci.edu
06048,gmail.com
04915,imath.kiev.ua
06471,tergau-walkenhorst.com
07987,gmail.com
10111,gmail.com
10111,gmail.com
10223,gmail.com
10223,yahoo.com
10223,rediffmail.com
00985,lam.fr
07044,analytical.co.za
07438,risc.jku.at
07438,risc.jku.at
08315,gmail.com
09969,i2.org
09969,thesimpsons.com
09996,gmail.com
04279,obspm.fr
07788,izmiran.ru
10578,ibm.com
10578,gmail.com
07926,cern.ch
02308,ieee.org
00489,yazd.ac.ir
00887,thesimpsons.com
00887,gmail.com
00887,gmail.com
02073,infosys.com
06826,cpt.univ-mrs.fr
00448,ieee.org
04618,guatto.org
05996,gmail.com
04444,mail.dnp.co.jp
04444,tmu.ac.jp
10431,gmail.com
10431,renyi.mta.hu
10431,gmail.com
10431,gmail.com
08501,fqa.ub.edu
08501,fqa.ub.edu
07806,lanl.gov
07806,lanl.gov
08518,mpim-bonn.mpg.de
08518,imj-prg.fr
07603,gmail.com
07603,gmail.com
04841,gmail.com
04841,gmail.com
04841,gmail.com
04841,gmail.com
04841,gmail.com
05014,yahoo.com
01883,ipmu.jp
03516,yahoo.com
04737,bo.infn.it
01739,csr.res.in
01739,gmail.com
07046,iiap.res.in
07046,iiap.res.in
07046,gmail.com
07046,iiap.res.in
07046,nao.ac.jp
03124,konkoly.hu
07417,yandex.ru
00634,iitdalumni.com
00634,iitdalumni.com
05339,naverlabs.com
04185,sap.com
04185,ovgu.de
04185,sap.com
04185,ovgu.de
01484,leibniz-kis.de
01484,leibniz-kis.de
07637,fdna.com
07359,telent.com
01407,gmail.com
01407,yahoo.co.in
09791,fz-juelich.de
09791,ifsttar.fr
08276,ieee.org
08276,gmail.com
06851,hotmail.com
06851,hotmail.com
06851,qq.com
06851,qq.com
01953,free.fr
05629,mail.ru
05799,vp.pl
05799,ltu.se
01129,gmail.com
08436,gmail.com
04550,gmail.com
04550,gmail.com
06550,itbhu.ac.in
06550,itbhu.ac.in
01891,galaxy.far.far.away
06090,icc.ub.edu
06090,fqa.ub.edu
01016,gmail.com
01016,uiz.ac.ma
02457,corporation.com
02457,marysville-ohio.com
02457,affiliation.org
02457,researchlabs.org
02457,amesres.org
02457,prl.com
02457,affiliation.org
02457,consortium.net
04746,fsm.rnu.tn
04746,hotmail.fr
04746,gmail.com
06045,utia.cas.cz
04908,ens-paris-saclay.fr
00352,ifj.edu.pl
00352,ifj.edu.pl
00352,cyf-kr.edu.pl
09410,gmail.com
02161,inria.fr
02161,gmail.com
10236,gmail.com
09047,qq.com
02695,gmail.com
03888,gmail.com
08726,gmail.com
05202,gmail.com
05202,gmail.com
05231,mpifr-bonn.mpg.de
04691,univ-fcomte.fr
07388,i1.org
07388,i2.org
02953,gfz-potsdam.de
02953,gfz-potsdam.de
05764,intel.com
00622,fuw.edu.pl
04704,gmail.com
02132,gmail.com
00343,gmail.com
01409,physics.iiests.ac.in
01409,associates.iucaa.in
01409,associates.iucaa.in
01409,gmail.com
07937,maastrichtuniversity.nl
